name;tm;nat;age;pos;cm;kg;app;min;G;A;yel;red;spG;pa%;aerWon;moM;tac;int;fouls;offW;clear;drbP;blcks;ownG;KP;drb;fouled;cOff;disp;unsT;avgP;crosses;longB;thrB
Jonas Föhrenbach;Freiburg;de;21;D(L);185;78;7(1);581;1;-;1;-;0.1;79.6;1.1;1;2.6;0.8;0.9;-;1.3;0.6;0.5;1;0.5;1;0.5;0.3;0.4;1;39.8;0.4;1.6;-
Maximilian Philipp;Freiburg;de;23;AM(LR),FW;184;77;25(6);2256;8;9;1;-;1.7;76.6;1.8;2;1.5;1;1.1;-;0.4;0.5;0.3;-;1.3;2;2.5;0.2;1.7;1.6;26.9;0.1;0.7;-
Mensur Mujdza;Freiburg;ba;33;D(R);185;81;13(5);1173;-;1;6;1;0.2;76.9;1.3;-;1.3;0.7;0.8;0.2;1.3;0.3;0.1;1;0.6;0.6;0.5;-;0.3;0.3;34.4;0.8;1.7;-
Florian Niederlechner;Freiburg;de;26;FW;186;86;11(3);931;8;1;3;-;1.9;73.3;1.3;5;0.7;0.6;1.9;-;0.4;0.2;0.1;-;0.9;2.2;2.2;0.3;1.6;2.4;15.8;0.1;0.5;-
Nils Petersen;Freiburg;de;28;FW;188;85;25(7);2333;21;5;1;-;2.3;65.1;4.6;4;0.4;0.7;0.7;-;1;0.8;0.1;-;0.8;0.8;0.4;0.6;1;2.3;18.7;-;0.5;-
Marc Torrejón;Freiburg;es;31;D(CR);187;87;19(1);1682;1;4;3;1;0.7;82.5;3.1;1;1.3;2;0.6;0.5;4.5;0.3;0.3;-;0.8;0.4;0.6;-;0.2;0.5;58.2;0.2;5.4;-
Immanuel Höhn;Freiburg;de;25;D(CR);183;72;25(1);2276;3;1;3;-;0.7;87.2;2.3;1;1.3;1.7;1.1;0.3;4.3;0.4;0.7;-;0.2;0.2;0.5;-;0.1;0.5;58.7;-;3.3;-
Tim Kleindienst;Freiburg;de;21;FW;194;83;0(7);87;-;-;-;-;0.3;75.7;1;-;0.3;-;1;-;0.6;0.1;-;-;0.3;0.6;0.9;-;0.3;0.7;5.3;-;-;-
Alexander Schwolow;Freiburg;de;25;GK;189;83;33;2970;-;-;1;-;-;55.6;0.2;1;-;-;-;-;0.6;-;-;-;-;-;0.1;-;-;-;34.8;-;8.5;-
Patric Klandt;Freiburg;de;33;Goalkeeper;184;81;1;90;-;-;-;-;-;54.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22;-;9;-
Florian Kath;Freiburg;de;22;Midfielder;184;74;0(4);10;-;-;1;-;-;50;-;-;-;-;0.5;-;0.5;0.3;-;-;-;-;-;-;-;0.5;0.5;-;-;-
Lucas Hufnagel;Freiburg;ge;23;M(R);183;73;3(16);540;1;3;2;-;0.3;80.6;0.6;-;0.8;0.6;0.6;-;0.2;0.2;-;-;0.6;1;1.7;-;0.8;1.1;9.8;0.1;0.2;0.1
Vegar Hedenstad;Freiburg;no;26;D(LR);178;74;1(6);101;-;-;-;-;-;60.7;0.1;-;0.3;-;-;-;0.3;-;-;-;0.1;-;0.3;-;0.3;-;4;-;-;-
Jannik Vestergaard;Werder Bremen;dk;25;D(C);199;98;33;2970;2;-;2;-;1.1;72.7;4.7;2;2;3.2;0.7;1;4.5;0.8;0.7;-;0.2;0.5;0.8;0.1;0.3;0.2;40.4;-;4;-
Fin Bartels;Werder Bremen;de;30;M(CLR),FW;176;69;22(8);2070;8;1;5;1;1.4;73.7;0.5;1;1;1.1;0.5;-;0.1;0.9;0.1;-;0.8;1.6;1.1;0.1;1.1;1.5;22.1;0.1;0.9;-
Anthony Ujah;Werder Bremen;ng;26;FW;179;81;26(6);2335;11;2;2;-;2.1;60.2;4.3;2;0.4;0.1;1.3;-;1.4;0.2;0.1;-;0.8;0.6;1.1;0.7;0.8;1.5;19.1;-;0.2;-
Özkan Yildirim;Werder Bremen;de;24;Midfielder;173;72;0(1);13;-;-;-;-;1;75;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;8;-;-;-
Papy Djilobodji;Werder Bremen;sn;28;D(C);193;82;14;1260;2;1;6;-;1.6;67.9;5.1;1;1.1;4.1;1.2;0.8;5.9;0.4;0.9;1;0.6;0.6;0.9;0.1;0.1;0.6;47.4;0.1;5.7;-
Sambou Yatabaré;Werder Bremen;ml;28;M(CR);190;82;6(2);493;1;1;3;-;1;62.1;2.5;-;0.9;0.6;2.3;-;0.8;0.3;-;-;0.9;2;0.9;0.3;1.1;1.8;22.8;0.3;1;-
Aron Jóhannsson;Werder Bremen;us;26;FW;184;70;5(1);409;2;-;-;-;2.3;74.8;0.5;-;0.8;0.5;2.2;-;-;0.3;0.2;-;1.3;1;1;0.7;1;1.2;17.8;0.5;0.7;-
Milos Veljkovic;Werder Bremen;rs;21;D(C),DMC;184;77;1(2);93;-;-;-;-;-;59.1;0.7;-;1;3;0.7;-;0.3;0.7;-;-;-;-;0.3;-;-;-;7.3;-;1;-
Santiago García;Werder Bremen;ar;29;D(CL),M(L);191;80;29;2468;-;3;9;-;0.4;67.2;4.1;1;2.3;3.7;1.6;0.4;2.2;1.2;0.3;-;1.1;0.7;2;0.1;0.4;0.8;33.6;0.4;1.8;-
Ulisses García;Werder Bremen;ch;21;DMC;185;78;7(4);592;-;1;3;-;1;69.7;1.5;-;1.4;1.5;1.8;0.2;0.5;1.5;-;-;0.5;1.6;0.5;-;1.4;0.9;19.2;0.3;0.6;-
Luca-Milan Zander;Werder Bremen;de;22;Defender;183;73;1(1);104;-;-;-;-;-;50;1.5;-;1.5;2.5;-;-;0.5;2;-;-;-;-;0.5;-;-;0.5;12;-;1;-
László Kleinheisler;Werder Bremen;hu;23;AM(C);173;70;1(5);191;-;-;-;-;0.8;79.7;0.5;-;0.5;0.7;1.2;-;-;0.2;-;-;0.2;1.2;0.8;-;0.7;0.8;13.2;0.2;0.7;-
Felix Wiedwald;Werder Bremen;de;27;GK;190;82;34;3060;-;-;4;-;-;56.7;0.3;-;-;-;0.1;-;0.8;0.1;-;-;-;-;0.2;-;-;-;26.4;-;9.4;-
Levin Öztunali;Werder Bremen;de;21;AM(CLR);184;80;17(8);1410;1;3;2;-;1;64.9;1;-;0.8;0.8;1.2;-;0.1;0.4;0.1;-;0.7;2;0.8;0.3;1;1.1;13;0.2;0.2;-
Marcel Hilßner;Werder Bremen;de;22;Midfielder;183;79;0(1);34;-;-;-;-;-;71.4;1;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;7;-;1;-
Maximilian Eggestein;Werder Bremen;de;20;DMC;181;75;2(5);173;-;-;-;-;0.3;78.3;0.4;-;0.7;0.4;0.4;-;0.1;0.3;-;-;0.6;0.1;0.3;-;0.4;0.4;8.6;-;0.4;-
